cell_x_m,cell_y_m,count
202727.66401520075,1778565.5185298186,2782
201727.66401520075,1777565.5185298186,2679
202727.66401520075,1777565.5185298186,2182
201727.66401520075,1778565.5185298186,2164
202727.66401520075,1779565.5185298186,1988
204727.66401520075,1776565.5185298186,1950
213727.66401520075,1757565.5185298186,1915
201727.66401520075,1774565.5185298186,1581
202727.66401520075,1774565.5185298186,1403
200727.66401520075,1778565.5185298186,1402
199727.66401520075,1778565.5185298186,1389
204727.66401520075,1778565.5185298186,1304
202727.66401520075,1775565.5185298186,1284
201727.66401520075,1775565.5185298186,1277
201727.66401520075,1779565.5185298186,1223
201727.66401520075,1776565.5185298186,1138
202727.66401520075,1776565.5185298186,1106
198727.66401520075,1778565.5185298186,1088
204727.66401520075,1777565.5185298186,1063
205727.66401520075,1776565.5185298186,1053
198727.66401520075,1777565.5185298186,955
197727.66401520075,1777565.5185298186,926
214727.66401520075,1757565.5185298186,918
203727.66401520075,1778565.5185298186,873
194727.66401520075,1778565.5185298186,863
204727.66401520075,1775565.5185298186,799
201727.66401520075,1773565.5185298186,773
195727.66401520075,1778565.5185298186,751
197727.66401520075,1776565.5185298186,751
203727.66401520075,1777565.5185298186,678
202727.66401520075,1771565.5185298186,671
200727.66401520075,1772565.5185298186,671
203727.66401520075,1779565.5185298186,618
213727.66401520075,1758565.5185298186,610
196727.66401520075,1777565.5185298186,598
204727.66401520075,1780565.5185298186,584
215727.66401520075,1757565.5185298186,579
194727.66401520075,1779565.5185298186,550
205727.66401520075,1775565.5185298186,507
196727.66401520075,1779565.5185298186,504
197727.66401520075,1779565.5185298186,474
198727.66401520075,1776565.5185298186,458
204727.66401520075,1779565.5185298186,456
202727.66401520075,1772565.5185298186,443
202727.66401520075,1780565.5185298186,431
197727.66401520075,1778565.5185298186,422
204727.66401520075,1774565.5185298186,401
200727.66401520075,1777565.5185298186,390
201727.66401520075,1771565.5185298186,382
203727.66401520075,1772565.5185298186,381
205727.66401520075,1781565.5185298186,366
203727.66401520075,1776565.5185298186,364
213727.66401520075,1756565.5185298186,359
198727.66401520075,1775565.5185298186,344
203727.66401520075,1780565.5185298186,339
195727.66401520075,1777565.5185298186,332
203727.66401520075,1774565.5185298186,321
195727.66401520075,1779565.5185298186,318
196727.66401520075,1776565.5185298186,312
205727.66401520075,1780565.5185298186,311
212727.66401520075,1758565.5185298186,310
205727.66401520075,1758565.5185298186,307
200727.66401520075,1773565.5185298186,306
201727.66401520075,1770565.5185298186,304
194727.66401520075,1780565.5185298186,295
203727.66401520075,1781565.5185298186,282
202727.66401520075,1773565.5185298186,271
212727.66401520075,1757565.5185298186,269
199727.66401520075,1772565.5185298186,267
206727.66401520075,1771565.5185298186,255
196727.66401520075,1778565.5185298186,254
208727.66401520075,1753565.5185298186,253
200727.66401520075,1770565.5185298186,246
205727.66401520075,1777565.5185298186,234
199727.66401520075,1777565.5185298186,232
204727.66401520075,1759565.5185298186,226
195727.66401520075,1776565.5185298186,222
206727.66401520075,1770565.5185298186,215
201727.66401520075,1769565.5185298186,204
205727.66401520075,1773565.5185298186,194
197727.66401520075,1775565.5185298186,193
198727.66401520075,1774565.5185298186,190
201727.66401520075,1780565.5185298186,188
205727.66401520075,1768565.5185298186,184
205727.66401520075,1778565.5185298186,176
199727.66401520075,1773565.5185298186,175
204727.66401520075,1773565.5185298186,174
203727.66401520075,1773565.5185298186,174
195727.66401520075,1780565.5185298186,173
206727.66401520075,1772565.5185298186,171
196727.66401520075,1775565.5185298186,168
200727.66401520075,1776565.5185298186,168
205727.66401520075,1774565.5185298186,166
201727.66401520075,1772565.5185298186,164
206727.66401520075,1769565.5185298186,160
214727.66401520075,1756565.5185298186,159
214727.66401520075,1761565.5185298186,157
205727.66401520075,1772565.5185298186,154
200727.66401520075,1769565.5185298186,150
199727.66401520075,1771565.5185298186,149
205727.66401520075,1782565.5185298186,144
206727.66401520075,1768565.5185298186,143
205727.66401520075,1779565.5185298186,140
206727.66401520075,1758565.5185298186,136
193727.66401520075,1782565.5185298186,135
215727.66401520075,1760565.5185298186,133
191727.66401520075,1757565.5185298186,128
200727.66401520075,1771565.5185298186,126
207727.66401520075,1769565.5185298186,125
206727.66401520075,1782565.5185298186,124
204727.66401520075,1769565.5185298186,122
193727.66401520075,1769565.5185298186,113
192727.66401520075,1783565.5185298186,110
205727.66401520075,1765565.5185298186,101
194727.66401520075,1776565.5185298186,99
212727.66401520075,1759565.5185298186,99
201727.66401520075,1768565.5185298186,92
192727.66401520075,1779565.5185298186,91
204727.66401520075,1781565.5185298186,91
193727.66401520075,1779565.5185298186,90
204727.66401520075,1771565.5185298186,88
203727.66401520075,1771565.5185298186,87
200727.66401520075,1779565.5185298186,85
190727.66401520075,1758565.5185298186,84
210727.66401520075,1758565.5185298186,83
214727.66401520075,1758565.5185298186,82
192727.66401520075,1781565.5185298186,82
215727.66401520075,1756565.5185298186,82
193727.66401520075,1781565.5185298186,80
198727.66401520075,1779565.5185298186,79
205727.66401520075,1769565.5185298186,78
190727.66401520075,1757565.5185298186,77
207727.66401520075,1770565.5185298186,76
206727.66401520075,1751565.5185298186,76
200727.66401520075,1775565.5185298186,76
212727.66401520075,1756565.5185298186,75
205727.66401520075,1763565.5185298186,74
193727.66401520075,1770565.5185298186,74
205727.66401520075,1751565.5185298186,73
211727.66401520075,1758565.5185298186,73
207727.66401520075,1771565.5185298186,72
191727.66401520075,1785565.5185298186,70
203727.66401520075,1769565.5185298186,70
209727.66401520075,1759565.5185298186,69
203727.66401520075,1770565.5185298186,67
211727.66401520075,1763565.5185298186,66
202727.66401520075,1764565.5185298186,66
204727.66401520075,1758565.5185298186,66
215727.66401520075,1758565.5185298186,65
